Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
AMKR,2020-05-22,"Amkor Technology, Inc.",Technology,Semiconductors,USA,2.43B,11.38,9.81,-1.11%,757727
AMN,2020-05-22,"AMN Healthcare Services, Inc.",Healthcare,Medical Care Facilities,USA,2.15B,22.51,43.96,-3.64%,419225
AMOT,2020-05-22,Allied Motion Technologies Inc.,Technology,Electronic Components,USA,321.03M,19.50,34.08,1.37%,40992
AMP,2020-05-22,"Ameriprise Financial, Inc.",Financial,Asset Management,USA,16.29B,4.91,132.46,0.26%,728031
AMPH,2020-05-22,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,847.09M,17.76,18.54,0.38%,328131
AMRC,2020-05-22,"Ameresco, Inc.",Industrials,Engineering & Construction,USA,957.38M,21.61,20.94,2.10%,180617
AMRN,2020-05-22,Amarin Corporation plc,Healthcare,Biotechnology,Ireland,2.75B,-,7.24,-0.55%,13344329
AMRS,2020-05-22,"Amyris, Inc.",Basic Materials,Specialty Chemicals,USA,525.43M,-,3.52,-3.56%,1543228
AMRX,2020-05-22,"Amneal Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,1.40B,-,4.69,3.53%,1954417
AMSF,2020-05-22,"AMERISAFE, Inc.",Financial,Insurance - Specialty,USA,1.19B,14.28,62.16,0.27%,104572
AMSWA,2020-05-22,"American Software, Inc.",Technology,Software - Application,USA,565.05M,70.84,17.78,3.31%,174786
AMT,2020-05-22,American Tower Corporation (REIT),Real Estate,REIT - Specialty,USA,107.49B,56.72,242.43,6.25%,2810427
AMTB,2020-05-22,Amerant Bancorp Inc.,Financial,Banks - Regional,USA,452.14M,12.01,11.65,-1.77%,64222
AMTD,2020-05-22,TD Ameritrade Holding Corporation,Financial,Capital Markets,USA,18.88B,9.67,34.07,-1.22%,2801097
AMWD,2020-05-22,American Woodmark Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,995.55M,12.22,60.52,2.21%,157565
AMX,2020-05-22,"America Movil, S.A.B. de C.V.",Communication Services,Telecom Services,Mexico,43.06B,53.33,12.8,0.71%,2066404
AMZN,2020-05-22,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,USA,1204.89B,116.41,2436.88,-0.40%,2824158
AN,2020-05-22,"AutoNation, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,3.42B,28.77,39.79,-0.33%,489865
ANAB,2020-05-22,"AnaptysBio, Inc.",Healthcare,Biotechnology,USA,520.40M,-,19.87,2.32%,259574
ANAT,2020-05-22,American National Insurance Company,Financial,Insurance - Diversified,USA,1.86B,13.20,69.5,0.90%,36885
ANDE,2020-05-22,"The Andersons, Inc.",Consumer Defensive,Food Distribution,USA,431.15M,-,12.05,-2.82%,398684
ANET,2020-05-22,"Arista Networks, Inc.",Technology,Computer Hardware,USA,16.28B,22.26,220.17,-1.30%,478360
ANF,2020-05-22,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail,USA,743.04M,21.28,11.81,-1.83%,2282497
ANGI,2020-05-22,ANGI Homeservices Inc.,Communication Services,Internet Content & Information,USA,5.35B,358.33,10.75,3.56%,1409747
