Ticker,Date,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
DRIP,2020-03-19,1814,Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 3X Shares,Financial,Exchange Traded Fund,USA,-,-,349.98,-20.46%,52950
DRIV,2020-03-19,1815,Global X Autonomous & Electric Vehicles ETF,Financial,Exchange Traded Fund,USA,-,-,10.08,1.83%,8930
DRN,2020-03-19,1816,Direxion Daily MSCI Real Estate Bull 3X Shares,Financial,Exchange Traded Fund,USA,-,-,6.59,4.60%,313278
DRNA,2020-03-19,1817,"Dicerna Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,1.07B,-,15.82,17.62%,737023
DRQ,2020-03-19,1818,"Dril-Quip, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,1.27B,816.67,29.44,-7.57%,868593
DRR,2020-03-19,1819,Market Vectors Double Short Euro ETN,Financial,Exchange Traded Fund,USA,-,-,66.0,2.24%,979
DRRX,2020-03-19,1820,DURECT Corporation,Healthcare,Drug Manufacturers - Other,USA,208.46M,-,1.0,3.33%,1647913
DRSK,2020-03-19,1821,Aptus Defined Risk ETF,Financial,Exchange Traded Fund,USA,-,-,26.69,-2.08%,45845
DRUA,2020-03-19,1822,"Dominion Energy, Inc. ENHCD SUB NT16 A",Financial,Exchange Traded Fund,USA,-,-,22.07,7.97%,274177
DRV,2020-03-19,1823,Direxion Daily MSCI Real Estate Bear 3X Shares,Financial,Exchange Traded Fund,USA,-,-,51.46,-2.02%,344039
DRW,2020-03-19,1824,WisdomTree Global ex-US Real Estate Fund,Financial,Exchange Traded Fund,USA,-,-,19.81,-1.34%,43270
DS,2020-03-19,1825,Drive Shack Inc.,Financial,REIT - Diversified,USA,87.41M,-,1.33,6.40%,1167299
DSE,2020-03-19,1826,Duff & Phelps Select MLP and Midstream Energy Fund,Financial,Asset Management,USA,9.22M,-,0.52,47.98%,385328
DSGX,2020-03-19,1827,The Descartes Systems Group Inc,Technology,Business Software & Services,Canada,2.69B,65.19,30.33,4.08%,131279
DSI,2020-03-19,1828,iShares MSCI KLD 400 Social ETF,Financial,Exchange Traded Fund,USA,-,-,90.9,0.44%,101950
DSKE,2020-03-19,1829,"Daseke, Inc.",Services,Trucking,USA,81.68M,-,1.16,0.00%,439092
DSL,2020-03-19,1830,DoubleLine Income Solutions Fund,Financial,Closed-End Fund - Debt,USA,1.07B,-,12.59,20.02%,3169866
DSLV,2020-03-19,1831,VelocityShares 3x Inverse Silver ETN Linked to the S&P GSCI Silver Index ER,Financial,Exchange Traded Fund,USA,-,-,41.31,-3.21%,94531
DSM,2020-03-19,1832,"BNY Mellon Strategic Municipal Bond Fund, Inc.",Financial,Closed-End Fund - Debt,USA,287.82M,7.20,6.0,2.92%,349670
DSPG,2020-03-19,1833,"DSP Group, Inc.",Technology,Semiconductor - Integrated Circuits,USA,264.49M,-,11.0,2.52%,271706
DSS,2020-03-19,1834,"Document Security Systems, Inc.",Services,Business Services,USA,5.86M,-,0.18,4.39%,7139448
DSSI,2020-03-19,1835,Diamond S Shipping Inc.,Services,Shipping,USA,380.62M,-,9.27,1.76%,425517
