,previousClose,open,dayHigh,dayLow,regularMarketPreviousClose,regularMarketPrice,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,marketCap,volume,navPrice,totalAssets,sharesOutstanding,sharesShort,floatShares,shortRatio,shortPercentOfFloat,fiftyDayAverage,twoHundredDayAverage,Date
QQQ,246.03,245.75,245.96,239.68,246.03,245.75,245.75,245.96,239.68,,52824554,239.96,109486972928,,,,,,235.34323,216.78839,2020-06-26
EWY,57.4,57.65,57.77,56.91,57.4,57.65,57.65,57.77,56.91,,3160157,57.83,4006151680,,,,,,55.19147,55.16628,2020-06-26
IVV,308.5,307.35,307.56,300.62,308.5,307.35,307.35,307.56,300.62,,4969014,301.06,190530797568,,,,,,304.63852,302.0135,2020-06-26
IWB,170.75,170.18,170.25,166.58,170.75,170.18,170.18,170.25,166.58,,1601142,166.77,21217638400,,,,,,168.33647,166.51869,2020-06-26
IYW,267.63,266.88,267.36,261.01,267.63,266.88,266.88,267.36,261.01,,96539,261.23,5244820992,,,,,,254.86177,235.53899,2020-06-26
IJH,174.79,173.78,174.25,170.95,174.79,173.78,173.78,174.25,170.95,,1134354,171.36,42505535488,,,,,,175.07617,178.81847,2020-06-26
IJR,66.63,66.21,66.34,64.57,66.63,66.21,66.21,66.34,64.57,,5415611,64.76,37343510528,,,,,,66.33941,70.27854,2020-06-26
IVE,107.51,106.89,107.04,104.7,107.51,106.89,106.89,107.04,104.7,,1342460,105.17,15627022336,,,,,,108.837944,114.294525,2020-06-26
IVW,206.66,206.2,206.34,201.34,206.66,206.2,206.2,206.34,201.34,,657397,201.44,27141353472,,,,,,200.53558,190.39285,2020-06-26
IWD,111.92,111.29,111.31,108.92,111.92,111.29,111.29,111.31,108.92,,4015826,109.32,34215450624,,,,,,113.25706,119.22686,2020-06-26
IWF,191.12,190.7,190.96,186.48,191.12,190.7,190.7,190.96,186.48,,2514773,186.61,52474474496,,,,,,184.8653,174.11758,2020-06-26
IWM,140.45,139.48,139.83,136.5,140.45,139.48,139.48,139.83,136.5,,39100061,137.04,36487827456,,,,,,138.54941,142.61212,2020-06-26
IWV,178.97,178.27,178.43,174.6,178.97,178.27,178.27,178.43,174.6,,596443,174.82,9242134528,,,,,,176.4556,174.95935,2020-06-26
IYZ,27.28,27.11,27.15,26.64,27.28,27.11,27.11,27.15,26.64,,733613,26.77,369274400,,,,,,27.685,28.025694,2020-06-26
IYF,111.2,109.65,109.93,107.115,111.2,109.65,109.65,109.93,107.115,,340792,107.16,1263233536,,,,,,110.3,118.752625,2020-06-26
IYE,19.99,19.91,19.91,19.2112,19.99,19.91,19.91,19.91,19.2112,,4744684,19.29,479506944,,,,,,20.84706,23.390219,2020-06-26
IYH,212.96,212.87,212.87,209.22,212.96,212.87,212.87,212.87,209.22,,87761,210.21,2441860096,,,,,,215.46324,208.89642,2020-06-26
IYK,126.157,126.3,126.3,123,126.157,126.3,126.3,126.3,123,,16180,123.13,486634912,,,,,,124.683235,124.939926,2020-06-26
IYR,78.04,77.74,78.11,76.445,78.04,77.74,77.74,78.11,76.445,,6942015,76.48,3059886592,,,,,,77.79176,83.10927,2020-06-26
IYY,152.17,151.49,151.265,148.533,152.17,151.49,151.49,151.265,148.533,,33687,148.67,1204030464,,,,,,150.16971,148.67949,2020-06-26
EWT,40.21,40.22,40.28,39.84,40.21,40.22,40.22,40.28,39.84,,3977842,40.35,3449108736,,,,,,38.505882,37.927155,2020-06-26
IDU,138.32,137.67,139.3111,136.1019,138.32,137.67,137.67,139.3111,136.1019,,79267,136.84,837932864,,,,,,143.9856,152.36351,2020-06-26
IYM,87.46,87.06,87.06,85.6206,87.46,87.06,87.06,87.06,85.6206,,36481,86.19,262608864,,,,,,87.08676,85.642555,2020-06-26
IYG,121.79,119.94,119.94,116.16,121.79,119.94,119.94,119.94,116.16,,128406,116.21,1069937472,,,,,,120.32236,128.72044,2020-06-26
IYC,217.57,217.42,217.99,212.26,217.57,217.42,217.42,217.99,212.26,,77655,212.9,925820160,,,,,,216.80324,211.95052,2020-06-26
EWZ,29.66,28.84,28.96,28.08,29.66,28.84,28.84,28.96,28.08,,28954289,28.2,4808684544,,,,,,27.7,33.856934,2020-06-26
IYJ,148,147.19,148.14,145.26,148,147.19,147.19,148.14,145.26,,51766,145.58,716639872,,,,,,146.82411,149.86139,2020-06-26
IJJ,130.71,129.86,129.9035,127.23,130.71,129.86,129.86,129.9035,127.23,,88594,127.48,4375355904,,,,,,131.95853,141.17715,2020-06-26
IJK,220.73,219.73,220.14,216.77,220.73,219.73,219.73,220.14,216.77,,42969,217.18,6143945216,,,,,,219.44824,216.02182,2020-06-26
IJS,116.89,116,116.06,113.04,116.89,116,116,116.06,113.04,,288120,113.85,4631912960,,,,,,117.70412,128.93803,2020-06-26
IJT,166.36,165.55,165.55,161.14,166.36,165.55,165.55,165.55,161.14,,188382,161.42,4092840960,,,,,,163.90411,168.75569,2020-06-26
IUSG,71.59,71.35,71.45,69.749,71.59,71.35,71.35,71.45,69.749,,496893,69.77,8494159872,,,,,,69.54059,66.15066,2020-06-26
IWN,94.74,93.85,93.96,91.65,94.74,93.85,93.85,93.96,91.65,,1290651,92.49,7430593024,,,,,,94.99618,104.28175,2020-06-26
IWO,204.38,203.54,203.79,198.81,204.38,203.54,203.54,203.79,198.81,,522520,199.44,8306171904,,,,,,199.16705,194.67526,2020-06-26
EZU,36.64,36.54,36.55,35.91,36.64,36.54,36.54,36.55,35.91,,4680265,35.95,3382221568,,,,,,35.067352,36.22708,2020-06-26
IEV,40.74,40.61,40.63,39.96,40.74,40.61,40.61,40.63,39.96,,101232,40.03,1285660544,,,,,,39.559116,40.931385,2020-06-26
IUSV,51.82,51.56,51.57,50.4801,51.82,51.56,51.56,51.57,50.4801,,459316,50.69,6092937728,,,,,,52.470295,55.15343,2020-06-26
DGT,77.95,77.4899,77.4899,76.5,77.95,77.4899,77.4899,77.4899,76.5,,1760,76.61,76421696,,,,,,76.82647,79.32701,2020-06-26
SLYG,55.57,55.28,55.2966,53.81,55.57,55.28,55.28,55.2966,53.81,,156853,53.93,1540741248,,,,,,54.80706,56.429344,2020-06-26
SLYV,47.74,47.34,47.48,46.1139,47.74,47.34,47.34,47.48,46.1139,,505772,46.45,2145927552,,,,,,48.095295,52.65518,2020-06-26
SPYG,44.75,44.65,44.67,43.57,44.75,44.65,44.65,44.67,43.57,,2788099,43.6,7622153216,,,,,,43.445293,41.237007,2020-06-26
SPYV,28.84,28.65,28.69,28.08,28.84,28.65,28.65,28.69,28.08,,2685282,28.2,4507339776,,,,,,29.24853,30.693796,2020-06-26
XNTK,98.2513,98.13,98.13,96.06,98.2513,98.13,98.13,98.13,96.06,,12659,96.18,368891680,,,,,,93.13382,84.6143,2020-06-26
SPTM,37.57,37.4,37.4,36.62,37.57,37.4,37.4,37.4,36.62,,560818,36.66,3264413696,,,,,,37.16206,36.975475,2020-06-26
OEF,142.33,141.79,141.79,138.31,142.33,141.79,141.79,141.79,138.31,,666931,138.41,6221595648,,,,,,139.37117,136.77066,2020-06-26
IOO,52.84,52.68,52.68,51.56,52.84,52.68,52.68,52.68,51.56,,33646,51.58,2181891328,,,,,,51.581764,50.891315,2020-06-26
ICF,100.02,99.33,100.1677,98.3,100.02,99.33,99.33,100.1677,98.3,,87317,98.31,1828132096,,,,,,100.18147,106.21657,2020-06-26
IBB,137.92,137.61,138.1533,134.17,137.92,137.61,137.61,138.1533,134.17,,5036915,135.05,8837338112,,,,,,133.01411,121.149704,2020-06-26
IGM,278.64,278.06,278.06,271.25,278.64,278.06,278.06,278.06,271.25,,62024,271.36,2237039616,,,,,,266.5588,245.22314,2020-06-26
RWR,77.28,76.89,77.41,75.7109,77.28,76.89,76.89,77.41,75.7109,,104913,75.84,1362312832,,,,,,78.26235,87.21387,2020-06-26
VTI,155.64,154.98,155.1699,151.73,155.64,154.98,154.98,155.1699,151.73,,3508478,151.91,860690776064,,,,,,153.6603,152.16722,2020-06-26
IGN,48.45,48.19,48.5,47.94,48.45,48.19,48.19,48.5,47.94,,3016,48.5,45558808,,,,,,49.756763,50.262993,2020-06-26
IGV,281.94,281.85,282.46,276.18,281.94,281.85,281.85,282.46,276.18,,875454,279.5,4184093184,,,,,,266.68735,241.85599,2020-06-26
SOXX,266.17,266.5,266.76,260.56,266.17,266.5,266.5,266.76,260.56,,545909,261.08,2845368832,,,,,,255.65677,240.53642,2020-06-26
IWP,156.87,156.57,157.1,154.44,156.87,156.57,156.57,157.1,154.44,,480929,154.64,11995528192,,,,,,153.54147,145.88307,2020-06-26
IWR,53.01,52.75,52.98,51.98,53.01,52.75,52.75,52.98,51.98,,2341207,52.04,19375902720,,,,,,52.614708,53.230877,2020-06-26
IWS,75.53,75.16,75.28,73.71,75.53,75.16,75.16,75.28,73.71,,777101,73.93,9536008192,,,,,,75.91264,80.66781,2020-06-26
EFA,61.38,61.23,61.29,60.4,61.38,61.23,61.23,61.29,60.4,,32279266,60.7,45031170048,,,,,,60.005295,61.502262,2020-06-26
EPP,39.68,39.55,39.56,39.06,39.68,39.55,39.55,39.56,39.06,,435290,39.57,1642461824,,,,,,38.73412,40.535694,2020-06-26
ILF,22.1,21.68,21.75,21.22,22.1,21.68,21.68,21.75,21.22,,1801647,21.23,752921472,,,,,,21.224117,25.180365,2020-06-26
IGE,21.36,21.18,21.18,20.73,21.36,21.18,21.18,21.18,20.73,,926972,20.83,389894688,,,,,,21.936766,23.50438,2020-06-26
JPXN,60.4758,59.93,59.97,59.93,60.4758,59.93,59.93,59.97,59.93,,1012,60.34,90009888,,,,,,59.496765,58.791897,2020-06-26
IXG,52.89,52.29,52.29,51.06,52.89,52.29,52.29,52.29,51.06,,86486,51.21,184790752,,,,,,51.982353,57.18613,2020-06-26
IXN,233.66,233.13,233.32,229.19,233.66,233.13,233.13,233.32,229.19,,42968,229.51,3523718656,,,,,,223.12912,209.34154,2020-06-26
IXP,62,61.75,61.75,59.8735,62,61.75,61.75,61.75,59.8735,,10121,60.03,283601216,,,,,,60.741764,59.023724,2020-06-26
IXJ,68.56,68.47,68.47,67.41,68.56,68.47,68.47,68.47,67.41,,48940,67.73,2295427072,,,,,,68.850586,66.87467,2020-06-26
IXC,19.66,19.54,19.54,19.01,19.66,19.54,19.54,19.54,19.01,,766065,19.09,870929216,,,,,,20.388823,23.128176,2020-06-26
VXF,117.27,116.67,117.1012,114.45,117.27,116.67,116.67,117.1012,114.45,,448297,114.57,67398193152,,,,,,114.30235,113.10781,2020-06-26
SHY,86.57,86.57,86.61,86.57,86.57,86.57,86.57,86.61,86.57,,4109942,86.58,23515430912,,,,,,86.585,85.86,2020-06-26
IEF,121.64,121.8,122.07,121.775,121.64,121.8,121.8,122.07,121.775,,3413933,121.97,21398112256,,,,,,121.371765,117.47839,2020-06-26
LQD,133.38,133.4,133.6,133.15,133.38,133.4,133.4,133.6,133.15,,7304904,133.38,49475743744,,,,,,131.49236,128.58485,2020-06-26
TLT,163.5,164.25,165.32,164.18,163.5,164.25,164.25,165.32,164.18,,12119310,165.12,18561363968,,,,,,162.40735,154.89478,2020-06-26
SPEU,31.5,31.4,31.41,30.89,31.5,31.4,31.4,31.41,30.89,,14971,31.01,142667968,,,,,,30.608824,31.668089,2020-06-26
FEZ,35.58,35.49,35.49,34.84,35.58,35.49,35.49,35.49,34.84,,2705148,34.89,1491621376,,,,,,33.844116,34.98978,2020-06-26
ADRE,40.0142,39.89,39.89,39.3374,40.0142,39.89,39.89,39.89,39.3374,,2563,39.39,108672800,,,,,,38.15059,39.204338,2020-06-26
EZA,35.96,35.41,35.52,34.98,35.96,35.41,35.41,35.52,34.98,,361097,35.05,204814496,,,,,,34.930588,38.306324,2020-06-26
EEM,40.43,40.31,40.33,39.765,40.43,40.31,40.31,40.33,39.765,,53901484,40.19,20336023552,,,,,,38.799118,39.715588,2020-06-26
RSP,100.48,100.09,100.26,98.06,100.48,100.09,100.09,100.26,98.06,,1577616,98.43,11236754432,,,,,,100.81206,102.64287,2020-06-26
PWC,87.1186,84.84,86.72,84.53,87.1186,84.84,84.84,86.72,84.53,,2191,85.66,117111216,,,,,,85.82353,88.19441,2020-06-26
FVL,20.8855,20.65,20.66,20.5413,20.8855,20.65,20.65,20.66,20.5413,,636,20.57,33591172,,,,,,20.877058,21.01647,2020-06-26
FVD,30.01,29.89,29.92,29.3332,30.01,29.89,29.89,29.92,29.3332,,1691294,29.45,8645003264,,,,,,30.387941,32.08147,2020-06-26
AGG,117.87,117.99,118.08,117.845,117.87,117.99,117.99,118.08,117.845,,5683422,117.98,72639864832,,,,,,117.336174,115.19684,2020-06-26
ONEQ,389.22,384.44,389.17,379.005,389.22,384.44,384.44,389.17,379.005,,57133,379.22,2561600256,,,,,,372.86206,347.32043,2020-06-26
IYT,159.5,158.71,159.26,155.28,159.5,158.71,158.71,159.26,155.28,,514124,156.08,517715552,,,,,,158.04735,166.7564,2020-06-26
DVY,80.06,79.44,79.44,77.37,80.06,79.44,79.44,79.44,77.37,,1300157,81.79,13215328256,,,,,,81.829414,89.45721,2020-06-26
TIP,122.85,122.96,123.08,122.91,122.85,122.96,122.96,123.08,122.91,,1017440,123.06,19737440256,,,,,,121.76265,119.35721,2020-06-26
ITOT,69.1,68.81,68.89,67.34,69.1,68.81,68.81,68.89,67.34,,2118950,67.41,24598611968,,,,,,68.08676,67.45838,2020-06-26
VV,142.36,141.89,141.9,138.8,142.36,141.89,141.89,141.9,138.8,,391876,138.98,26206005248,,,,,,140.55736,138.67308,2020-06-26
VAW,118.16,117.49,117.605,115.7418,118.16,117.49,117.49,117.605,115.7418,,65367,116.23,2051509248,,,,,,118.00147,117.15633,2020-06-26
VB,143.92,143.16,143.8195,140.537,143.92,143.16,143.16,143.8195,140.537,,819403,140.75,85618532352,,,,,,142.22383,144.39154,2020-06-26
VBK,197.93,197.04,198,193.911,197.93,197.04,197.04,198,193.911,,173605,194.28,25025869824,,,,,,192.78676,184.23198,2020-06-26
VBR,104.91,104.32,104.3329,102.0221,104.91,104.32,104.32,104.3329,102.0221,,508840,102.34,26056392704,,,,,,105.388824,113.31309,2020-06-26
VCR,196.88,196.85,197.34,192.28,196.88,196.85,196.85,197.34,192.28,,98183,192.47,3197098752,,,,,,192.16324,180.21692,2020-06-26
VDC,148.56,148.33,148.655,145.41,148.56,148.33,148.33,148.655,145.41,,169587,145.5,5985805824,,,,,,149.55647,152.08073,2020-06-26
VFH,58.06,57.09,57.15,55.32,58.06,57.09,57.09,57.15,55.32,,1304344,55.46,6108783616,,,,,,57.55794,63.252792,2020-06-26
VGT,276.08,275.5,276.02,269.91,276.08,275.5,275.5,276.02,269.91,,879685,270.85,33648060416,,,,,,263.5059,245.2722,2020-06-26
VHT,190.65,190.12,190.6,187.1906,190.65,190.12,190.12,190.6,187.1906,,327603,187.95,12643236864,,,,,,192.09323,185.6605,2020-06-26
VO,162.03,161.18,161.79,158.66,162.03,161.18,161.18,161.79,158.66,,715726,159.02,105454780416,,,,,,160.74295,161.04904,2020-06-26
VPU,122.09,121.98,123.12,119.99,122.09,121.98,121.98,123.12,119.99,,268122,120.73,5335513600,,,,,,127.51882,134.44566,2020-06-26
VTV,99.03,98.49,98.5,96.43,99.03,98.49,98.49,98.5,96.43,,2150644,96.84,79016083456,,,,,,100.58353,105.47934,2020-06-26
VUG,200.95,200.53,200.72,195.76,200.95,200.53,200.53,200.72,195.76,,848782,195.89,112164397056,,,,,,194.06764,181.74948,2020-06-26
JKD,173.426,172.68,172.1628,170.08,173.426,172.68,172.68,172.1628,170.08,,6893,170.12,745652608,,,,,,171.305,171.34647,2020-06-26
JKE,233.41,232.47,232.5111,227.11,233.41,232.47,232.47,232.5111,227.11,,50905,227.26,1637271808,,,,,,227.65323,212.53603,2020-06-26
JKF,96.49,95.98,95.6909,93.7488,96.49,95.98,95.98,95.6909,93.7488,,73348,94.05,443802816,,,,,,97.71647,102.571396,2020-06-26
JKG,181.674,181.22,179.739,177.87,181.674,181.22,181.22,179.739,177.87,,4961,178.57,603131904,,,,,,181.53558,186.16603,2020-06-26
JKH,290.42,290.36,290.8,286.41,290.42,290.36,290.36,290.8,286.41,,18132,286.6,779814144,,,,,,280.89087,259.1161,2020-06-26
JKI,124.42,122.74,123.5,121.389,124.42,122.74,122.74,123.5,121.389,,3951,121.69,336675456,,,,,,125.40912,137.47736,2020-06-26
JKJ,148.476,146.38,146.83,145.155,148.476,146.38,146.38,146.83,145.155,,2206,145.52,179739024,,,,,,149.08618,158.18985,2020-06-26
JKL,102.4,101.41,101.7194,98.74,102.4,101.41,101.41,101.7194,98.74,,13255,99.01,262813168,,,,,,103.41794,114.491394,2020-06-26
JKK,218.53,217.53,216.251,214.02,218.53,217.53,217.53,216.251,214.02,,2649,213.99,212245568,,,,,,211.26794,199.95839,2020-06-26
VDE,50.3,50.01,50.08,48.27,50.3,50.01,50.01,50.08,48.27,,962020,48.48,3591374848,,,,,,52.675293,58.7525,2020-06-26
VIS,127.04,126.47,127.02,124.425,127.04,126.47,126.47,127.02,124.425,,218425,125.02,2851416320,,,,,,127.310295,134.01808,2020-06-26
VNQ,77.63,77.36,77.65,76.05,77.63,77.36,77.36,77.65,76.05,,7277072,76.12,54362071040,,,,,,77.80941,82.72794,2020-06-26
VOX,93.97,93.57,93.6662,89.86,93.97,93.57,93.57,93.6662,89.86,,248878,89.99,2368931328,,,,,,93.08676,89.76478,2020-06-26
FXI,40.57,40.38,40.41,40.015,40.57,40.38,40.38,40.41,40.015,,13594754,40.73,3048990720,,,,,,39.73853,40.15434,2020-06-26
GLD,165.8,164.87,166.56,164.22,165.8,164.87,164.87,166.56,164.22,,9753492,164.24,62404354048,,,,,,162.63736,153.55397,2020-06-26
PEY,14.25,14.16,14.16,13.76,14.25,14.16,14.16,14.16,13.76,,266629,13.82,631321344,,,,,,14.439117,15.901103,2020-06-26
PGJ,49.5,49.5,49.54,48.7111,49.5,49.5,49.5,49.54,48.7111,,12423,49.01,164866464,,,,,,45.03294,41.908897,2020-06-26
SUSA,132.36,132.04,132.04,129.54,132.36,132.04,132.04,132.04,129.54,,55085,129.69,1428618112,,,,,,130.15147,127.18882,2020-06-26
IAU,16.85,16.74,16.93,16.68,16.85,16.74,16.74,16.93,16.68,,24474031,16.77,24548401152,,,,,,16.525589,15.5925,2020-06-26
PBW,38.6,38.53,38.53,37.4445,38.6,38.53,38.53,38.53,37.4445,,127970,37.55,291900960,,,,,,36.06441,34.12522,2020-06-26
PWB,54.35,54.19,54.25,53.27,54.35,54.19,54.19,54.25,53.27,,21217,53.28,663259456,,,,,,52.53794,50.09191,2020-06-26
PWV,33.41,33.21,33.21,32.46,33.41,33.21,33.21,33.21,32.46,,119998,32.6,685307648,,,,,,33.801765,35.891838,2020-06-26
XMMO,58.03,57.93,58.2599,57.39,58.03,57.93,57.93,58.2599,57.39,,61109,57.55,584707008,,,,,,58.424118,57.34169,2020-06-26
XMVM,26.3774,26.4,26.4,25.62,26.3774,26.4,26.4,26.4,25.62,,5336,25.8,44410728,,,,,,26.662354,28.941471,2020-06-26
XSMO,35.5655,35.34,35.34,34.47,35.5655,35.34,35.34,35.34,34.47,,10975,34.48,73155168,,,,,,34.977352,35.36,2020-06-26
XSVM,23.7134,23.37,23.37,22.96,23.7134,23.37,23.37,23.37,22.96,,2302,23.09,58492920,,,,,,23.958235,26.510221,2020-06-26
VGK,50.63,50.54,50.54,49.695,50.63,50.54,50.54,50.54,49.695,,4888673,49.74,15348137984,,,,,,49.14382,50.82978,2020-06-26
VPL,64.39,64.39,64.439,63.64,64.39,64.39,64.39,64.439,63.64,,652797,63.66,5848252416,,,,,,62.854412,62.835957,2020-06-26
VWO,40.03,39.92,39.94,39.415,40.03,39.92,39.92,39.94,39.415,,14051975,39.61,74432831488,,,,,,38.429707,39.38794,2020-06-26
XLG,237.77,236.88,236.88,231.41,237.77,236.88,236.88,236.88,231.41,,71864,231.43,1293520640,,,,,,231.84764,224.99698,2020-06-26
PBE,57.5492,57.62,57.62,56.27,57.5492,57.62,57.62,57.62,56.27,,3210,56.29,241239552,,,,,,56.93559,53.52816,2020-06-26
PBJ,30.88,30.72,30.9,30.3219,30.88,30.72,30.72,30.9,30.3219,,8397,30.33,68056272,,,,,,31.07353,31.366323,2020-06-26
PBS,32.3808,32.03,32.03,31.37,32.3808,32.03,32.03,32.03,31.37,,4986,31.41,30627860,,,,,,30.925,30.412426,2020-06-26
PEJ,29.08,29.06,29.06,28.18,29.08,29.06,29.06,29.06,28.18,,183839,28.28,244941936,,,,,,29.675,33.974117,2020-06-26
PJP,64.35,63.89,64.0935,63.1499,64.35,63.89,63.89,64.0935,63.1499,,14786,63.35,363236608,,,,,,63.70853,61.82757,2020-06-26
PSI,72.02,72.02,71.58,70.225,72.02,72.02,72.02,71.58,70.225,,22373,70.21,247836064,,,,,,69.65677,64.97368,2020-06-26
PSJ,114.62,114.55,114.735,112.34,114.62,114.55,114.55,114.735,112.34,,20481,113.64,458027520,,,,,,109.26265,99.42824,2020-06-26
PXQ,64.5678,63.85,64.0856,64.0856,64.5678,63.85,63.85,64.0856,64.0856,,88,64.1,51439312,,,,,,63.08441,59.06478,2020-06-26
EFG,83.8,83.73,83.73,82.65,83.8,83.73,83.73,83.73,82.65,,242968,82.94,7237959680,,,,,,81.1097,80.1111,2020-06-26
EFV,40.33,40.15,40.2,39.53,40.33,40.15,40.15,40.2,39.53,,1036677,39.74,4976215552,,,,,,39.554707,42.139263,2020-06-26
IWC,86.4339,85.51,85.98,83.4601,86.4339,85.51,85.51,85.98,83.4601,,148880,84.13,686104832,,,,,,83.11617,84.63478,2020-06-26
PFM,27.8832,27.83,27.85,27.315,27.8832,27.83,27.83,27.85,27.315,,15134,27.38,324688224,,,,,,28.072058,28.436691,2020-06-26
PID,12.2,12.16,12.16,11.87,12.2,12.16,12.16,12.16,11.87,,215653,11.89,501513664,,,,,,12.402059,14.0455885,2020-06-26
FDM,37.79,37.48,37.48,36.58,37.79,37.48,37.48,37.48,36.58,,18313,37.01,98538224,,,,,,37.79441,40.662575,2020-06-26
PKB,29.38,29.13,29.24,28.655,29.38,29.13,29.13,29.24,28.655,,6735,28.87,77112080,,,,,,28.802647,29.410221,2020-06-26
PPA,54.69,54.37,54.67,53.48,54.69,54.37,54.37,54.67,53.48,,43541,53.56,720366848,,,,,,56.149117,60.50934,2020-06-26
PUI,28.7586,28.76,28.825,28.2501,28.7586,28.76,28.76,28.825,28.2501,,7985,28.38,84181464,,,,,,30.246176,32.15691,2020-06-26
PXE,9.34,9.168,9.19,8.95,9.34,9.168,9.168,9.19,8.95,,40187,8.99,16222951,,,,,,10.102353,11.006912,2020-06-26
PXJ,2.41,2.43,2.43,2.305,2.41,2.43,2.43,2.43,2.305,,31950,2.32,7448010,,,,,,2.5485294,3.3341177,2020-06-26
KBE,31.61,30.89,30.94,29.62,31.61,30.89,30.89,30.94,29.62,,6571830,29.67,1261811328,,,,,,31.602058,36.305294,2020-06-26
KCE,56.155,55.4,55.365,53.885,56.155,55.4,55.4,55.365,53.885,,2650,53.91,23365248,,,,,,55.19588,54.8575,2020-06-26
