,country,name,full_name,symbol,currency,class,market
100,australia,S&P/ASX 100 Resources,S&P/ASX 100 Resources,AXTRD,AUD,other_indices,world_indices
101,australia,S&P/ASX 200 Automobiles & Components,S&P/ASX 200 Automobiles & Components,AXACJD,AUD,other_indices,world_indices
102,australia,S&P/ASX 200 Banks,S&P/ASX 200 Banks,AXBAJD,AUD,other_indices,world_indices
103,australia,S&P/ASX 200 Captal Goods Size,S&P/ASX 200 Captal Goods Size,AXCGJD,AUD,other_indices,world_indices
104,australia,S&P/ASX 300 Transportation,S&P/ASX 300 Transportation,AXTRKD,AUD,other_indices,world_indices
105,australia,S&P/ASX 200 Consumer Durables & Apparel,S&P/ASX 200 Consumer Durables & Apparel,AXCDJD,AUD,other_indices,world_indices
106,australia,S&P/ASX 200 Diversified Financials,S&P/ASX 200 Diversified Financials,AXDFJD,AUD,other_indices,world_indices
107,australia,S&P/ASX 200 Energy,S&P/ASX 200 Energy,AXENJD,AUD,other_indices,world_indices
108,australia,S&P/ASX 200 Food & Drug Retailing,S&P/ASX 200 Food & Drug Retailing,AXFDJD,AUD,other_indices,world_indices
109,australia,S&P/ASX 200 Food Beverage & Tobacco,S&P/ASX 200 Food Beverage & Tobacco,AXFBJD,AUD,other_indices,world_indices
110,australia,S&P/ASX 200 Health Care Equipment & Services,S&P/ASX 200 Health Care Equipment & Services,AXHCJD,AUD,other_indices,world_indices
111,australia,S&P/ASX 200 Hotels Restaurants & Leisure,S&P/ASX 200 Hotels Restaurants & Leisure,AXHRJD,AUD,other_indices,world_indices
112,australia,S&P/ASX 200 Industrials (Size),S&P/ASX 200 Industrials (Size),AXJID,AUD,other_indices,world_indices
113,australia,S&P/ASX 200 Insurance,S&P/ASX 200 Insurance,AXINJD,AUD,other_indices,world_indices
114,australia,S&P/ASX 200 Materials,S&P/ASX 200 Materials,AXMAJD,AUD,other_indices,world_indices
115,australia,S&P/ASX 200 Media,S&P/ASX 200 Media,AXMEJD,AUD,other_indices,world_indices
116,australia,S&P/ASX All Australian 50,S&P/ASX All Australian 50,AXAF,AUD,additional_indices,world_indices
117,australia,S&P/ASX 200 Pharmaceuticals & Biotechnology,S&P/ASX 200 Pharmaceuticals & Biotechnology,AXPBJD,AUD,other_indices,world_indices
118,australia,S&P/ASX All Australian 200,S&P/ASX All Australian 200,AXAT,AUD,additional_indices,world_indices
119,australia,S&P/ASX 300,S&P/ASX 300,AXKO,AUD,additional_indices,world_indices
120,australia,S&P/ASX 200,S&P/ASX 200,AXJO,AUD,major_indices,world_indices
121,australia,ASX All Ordinaries Gold,ASX All Ordinaries Gold,AXGD,AUD,primary_sectors,world_indices
122,australia,S&P/ASX 200 Consumer Discretionary,S&P/ASX 200 Consumer Discretionary,AXDJ,AUD,primary_sectors,world_indices
123,australia,S&P/ASX 200 Consumer Staples,S&P/ASX 200 Consumer Staples,AXSJ,AUD,primary_sectors,world_indices
124,australia,S&P/ASX 200 Energy,S&P/ASX 200 Energy,AXEJ,AUD,primary_sectors,world_indices
125,australia,S&P/ASX 200 Financials,S&P/ASX 200 Financials,AXFJ,AUD,primary_sectors,world_indices
126,australia,S&P/ASX 200 Health Care,S&P/ASX 200 Health Care,AXHJ,AUD,primary_sectors,world_indices
127,australia,S&P/ASX 200 Industrials,S&P/ASX 200 Industrials,AXNJ,AUD,primary_sectors,world_indices
128,australia,S&P/ASX 200 Information Technology,S&P/ASX 200 Information Technology,AXIJ,AUD,primary_sectors,world_indices
129,australia,S&P/ASX 200 Materials,S&P/ASX 200 Materials,AXMJ,AUD,primary_sectors,world_indices
130,australia,S&P/ASX 200 REIT,S&P/ASX 200 REIT,AXPJ,AUD,primary_sectors,world_indices
131,australia,S&P/ASX 200 Resources,S&P/ASX 200 Resources,AXJR,AUD,primary_sectors,world_indices
132,australia,S&P/ASX 200 Telecom Services,S&P/ASX 200 Telecommunication Services,AXTJ,AUD,primary_sectors,world_indices
133,australia,S&P/ASX 200 Utilities,S&P/ASX 200 Utilities,AXUJ,AUD,primary_sectors,world_indices
134,australia,S&P/ASX 300 Metals & Mining,S&P/ASX 300 Metals & Mining,AXMM,AUD,primary_sectors,world_indices
135,australia,ASX All Ordinaries,ASX All Ordinaries,AORD,AUD,additional_indices,world_indices
136,australia,ASX Small Ordinaries,ASX Small Ordinaries,AXSO,AUD,additional_indices,world_indices
137,australia,S&P/ASX 100,S&P/ASX 100,ATOI,AUD,additional_indices,world_indices
138,australia,S&P/ASX 20,S&P/ASX 20,ATLI,AUD,additional_indices,world_indices
139,australia,S&P/ASX 50,S&P/ASX 50,AFLI,AUD,additional_indices,world_indices
140,australia,S&P/ASX 200 Real Estate,S&P/ASX 200 Real Estate,AXREJD,AUD,other_indices,world_indices
141,australia,S&P/ASX 200 Commercial & Professional Services,S&P/ASX 200 Commercial & Professional Services,AXCSJD,AUD,other_indices,world_indices
142,australia,S&P/ASX 300 Media,S&P/ASX 300 Media,AXMEKD,AUD,other_indices,world_indices
143,australia,S&P/ASX 300 Financials,S&P/ASX 300 Financials,AXFKD,AUD,other_indices,world_indices
144,australia,S&P/ASX 300 Financials ex Property Trusts,S&P/ASX 300 Financials ex Property Trusts,AXXKD,AUD,other_indices,world_indices
145,australia,S&P/ASX 300 Food & Drug Retailing,S&P/ASX 300 Food & Drug Retailing,AXFDKD,AUD,other_indices,world_indices
146,australia,S&P/ASX 300 Health Care,S&P/ASX 300 Health Care,AXHKD,AUD,other_indices,world_indices
147,australia,S&P/ASX 300 Health Care Equipment & Services,S&P/ASX 300 Health Care Equipment & Services,AXHCKD,AUD,other_indices,world_indices
148,australia,S&P/ASX 300 Hotels Restaurants & Leisure,S&P/ASX 300 Hotels Restaurants & Leisure,AXHRKD,AUD,other_indices,world_indices
149,australia,S&P/ASX 300 Industrials,S&P/ASX 300 Industrials,AXNKD,AUD,other_indices,world_indices
150,australia,S&P/ASX 300 Industrials,S&P/ASX 300 Industrials,AXKID,AUD,other_indices,world_indices
151,australia,S&P/ASX 300 Information Technology,S&P/ASX 300 Information Technology,AXIKD,AUD,other_indices,world_indices
152,australia,S&P/ASX 300 Insurance,S&P/ASX 300 Insurance,AXINKD,AUD,other_indices,world_indices
153,australia,S&P/ASX 300 Materials,S&P/ASX 300 Materials,AXMKD,AUD,other_indices,world_indices
154,australia,S&P/ASX 300 Materials Industry,S&P/ASX 300 Materials Industry,AXMAKD,AUD,other_indices,world_indices
155,australia,S&P/ASX 300 Pharmaceuticals & Biotechnology,S&P/ASX 300 Pharmaceuticals & Biotechnology,AXPBKD,AUD,other_indices,world_indices
156,australia,S&P/ASX 300 Property Trusts,S&P/ASX 300 Property Trusts,AXPKD,AUD,other_indices,world_indices
157,australia,S&P/ASX 300 Real Estate,S&P/ASX 300 Real Estate,AXREKD,AUD,other_indices,world_indices
158,australia,S&P/ASX 300 Resources,S&P/ASX 300 Resources,AXKRD,AUD,other_indices,world_indices
159,australia,S&P/ASX 300 Retailing,S&P/ASX 300 Retailing,AXRTKD,AUD,other_indices,world_indices
160,australia,S&P/ASX 300 Software & Services,S&P/ASX 300 Software & Services,AXSSKD,AUD,other_indices,world_indices
161,australia,S&P/ASX 300 Telecommunication Services,S&P/ASX 300 Telecommunication Services,AXTKD,AUD,other_indices,world_indices
162,australia,S&P/ASX 300 Energy Industry,S&P/ASX 300 Energy Industry,AXENKD,AUD,other_indices,world_indices
163,australia,S&P/ASX 300 Energy,S&P/ASX 300 Energy,AXEKD,AUD,other_indices,world_indices
164,australia,S&P/ASX 300 Food Beverage & Tobacco,S&P/ASX 300 Food Beverage & Tobacco,AXFBKD,AUD,other_indices,world_indices
165,australia,S&P/ASX 300 Consumer Staples,S&P/ASX 300 Consumer Staples,AXSKD,AUD,other_indices,world_indices
166,australia,S&P/ASX 300 Diversified Financials,S&P/ASX 300 Diversified Financials,AXDFKD,AUD,other_indices,world_indices
167,australia,S&P/ASX 200 Retailing,S&P/ASX 200 Retailing,AXRTJD,AUD,other_indices,world_indices
168,australia,S&P/ASX 200 Software & Services,S&P/ASX 200 Software & Services,AXSSJD,AUD,other_indices,world_indices
169,australia,S&P/ASX 200 Telecommunication Services,S&P/ASX 200 Telecommunication Services,AXTEJD,AUD,other_indices,world_indices
170,australia,S&P/ASX 200 Utilities,S&P/ASX 200 Utilities,AXUTJD,AUD,other_indices,world_indices
171,australia,S&P/ASX 300 Automobiles & Components,S&P/ASX 300 Automobiles & Components,AXACKD,AUD,other_indices,world_indices
172,australia,S&P/ASX 200 Transportation,S&P/ASX 200 Transportation,AXTRJD,AUD,other_indices,world_indices
173,australia,S&P/ASX 300 Captal Goods,S&P/ASX 300 Captal Goods,AXCGKD,AUD,other_indices,world_indices
174,australia,S&P/ASX 300 Commerical Services & Supplies,S&P/ASX 300 Commerical Services & Supplies,AXCSKD,AUD,other_indices,world_indices
175,australia,S&P/ASX 300 Consumer Discretionary,S&P/ASX 300 Consumer Discretionary,AXDKD,AUD,other_indices,world_indices
176,australia,S&P/ASX 300 Consumer Durables & Apparel,S&P/ASX 300 Consumer Durables & Apparel,AXCDKD,AUD,other_indices,world_indices
177,australia,S&P/ASX 300 Banks,S&P/ASX 300 Banks,AXBAKD,AUD,other_indices,world_indices
178,austria,Russian Depositary Short EUR,Russian Depositary Short EUR,SRDXEUR,EUR,other_indices,world_indices
179,austria,Russian Depositary EUR,Russian Depositary EUR,RDXEUR,EUR,other_indices,world_indices
180,austria,Russian Depositary Short USD,Russian Depositary Short USD,SRDXUSD,USD,other_indices,world_indices
181,austria,RDX NTR USD,Russian Depositary Net Total Return USD,RDXNTRU,USD,other_indices,world_indices
182,austria,RDX NTR EUR,Russian Depositary Net Total Return EUR,RDXNTRE,EUR,other_indices,world_indices
183,austria,RDX NTR Leverage x4 NTR EUR,Russian Depositary Leverage x4 Net Total Return EUR,RDXLV4,EUR,other_indices,world_indices
